"We can't add this item to your shopping cart right now. Please reload the page.","We can't add this item to your shopping cart right now. Please reload the page."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"Set options","Set options"
"Add to cart","Add to cart"
Cancel,Cancel
"There is","There is"
" item"," item"
" in your cart."," in your cart."
"There are","There are"
" items"," items"
"Cart Subtotal:","Cart Subtotal:"
Information,Information
"View cart","View cart"
Continue,Continue
"Go to Checkout","Go to Checkout"
"This product(s) is out of stock.","This product(s) is out of stock."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
Center,Center
Top,Top
"Top Left","Top Left"
"Top Right","Top Right"
Left,Left
Right,Right
"Stay on Product View Page","Stay on Product View Page"
"Go to Category Page","Go to Category Page"
"Only Required Options","Only Required Options"
"All Custom Options","All Custom Options"
"You have added ","You have added "
" to cart."," to cart."
"Related Products","Related Products"
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Ajax Shopping Cart","Ajax Shopping Cart"
General,General
"Enable Ajax Shopping Cart","Enable Ajax Shopping Cart"
"Dialog Close Delay (in seconds)","Dialog Close Delay (in seconds)"
"If set to 0, confirmation dialog will not hide automatically.","If set to 0, confirmation dialog will not hide automatically."
"Use Ajax Shopping Cart on Product View Pages","Use Ajax Shopping Cart on Product View Pages"
"Continue Button Action on Product View Pages","Continue Button Action on Product View Pages"
"Custom Options Display Mode","Custom Options Display Mode"
"Display Settings","Display Settings"
"Enable flying image effect","Enable flying image effect"
"When set to 'Yes', the image of the product added to cart 'flies' to the 'Top  Cart' block in the top menu. Looks nice.","When set to 'Yes', the image of the product added to cart 'flies' to the 'Top  Cart' block in the top menu. Looks nice."
"Dialog Box Align","Dialog Box Align"
"Display Product Image in Dialog","Display Product Image in Dialog"
"Display Total Count of Products in Cart","Display Total Count of Products in Cart"
"Display Total Amount in Cart","Display Total Amount in Cart"
"Display 'Go to Checkout' Button","Display 'Go to Checkout' Button"
"Selling Options","Selling Options"
"Display Related Products in Confirmation Dialog","Display Related Products in Confirmation Dialog"
"Visual Options","Visual Options"
"Background Color","Background Color"
"Header Background Color","Header Background Color"
"Text Color","Text Color"
"Button Text Color","Button Text Color"
"Left Button Color","Left Button Color"
"Right Button Color","Right Button Color"
